record_id,entity_index,label,declared_start,declared_end,entity_text,offset_integrity_status
2,1,食材,22,24,薄荷,exact_match
2,2,食材,55,57,白糖,exact_match
2,3,食材,72,75,荚豆粉,exact_match
2,4,食材,81,84,白檀末,exact_match
2,5,食材,103,104,面,text_found_at_other_position
2,6,食材,107,109,香油,text_found_at_other_position
2,7,食材,132,135,玫瑰糖,text_found_at_other_position
2,8,食材,137,141,胡桃白仁,text_found_at_other_position
2,9,食材,149,151,杏仁,text_found_at_other_position
2,10,食材,165,169,小茴香末,text_found_at_other_position
2,11,食材,364,367,松子仁,text_found_at_other_position
2,12,食材,287,289,干葛,text_found_at_other_position
2,13,食材,290,292,桔梗,text_found_at_other_position
2,14,食材,337,340,玫瑰花,text_found_at_other_position
2,15,食材,360,363,榛子仁,text_found_at_other_position
2,16,食材,354,357,瓜子仁,text_found_at_other_position
2,17,烹饪方法,35,36,煮,exact_match
2,18,烹饪方法,403,404,烙,text_found_at_other_position
2,19,烹饪方法,413,414,煎,text_found_at_other_position
2,20,烹饪方法,214,215,炒,text_found_at_other_position
2,21,烹饪方法,440,441,熬,text_found_at_other_position
2,22,食疗方,86,102,内府玫瑰火饼,entity_text_not_found_in_current_passage
2,23,古籍来源,306,309,玉躇痛,text_found_at_other_position
3,1,食材,197,200,白糖霜,exact_match
3,2,烹饪方法,171,172,煮,exact_match
3,3,烹饪方法,222,223,煎,exact_match
3,4,烹饪方法,355,356,熬,text_found_at_other_position
3,5,烹饪方法,430,432,澄漂,text_found_at_other_position
3,6,禁忌,371,375,饮之损人,text_found_at_other_position
3,7,禁忌,376,383,着衣服上即霉烂,text_found_at_other_position
3,8,养生原则,15,21,多备大缸贮下,exact_match
3,9,养生原则,34,41,急旋成窝耶住手,exact_match
3,10,养生原则,50,53,勿触动,exact_match
3,11,养生原则,86,92,舀至七分耶止,exact_match
3,12,养生原则,93,106,其周围白滓及底下泥连水淘冼,exact_match
3,13,养生原则,113,124,然后将别缸水如前法舀过,exact_match
3,14,养生原则,125,130,逐缸搬运毕,exact_match
3,15,养生原则,143,149,三日后舀过缸,exact_match
3,16,养生原则,150,154,剩去泥滓,exact_match
3,17,养生原则,155,159,如此三遍,exact_match
3,18,养生原则,179,184,人水煮滚透,exact_match
3,19,养生原则,186,190,舀取入坛,exact_match
3,20,养生原则,205,209,然后人水,exact_match
3,21,养生原则,46,48,盖好,exact_match
3,22,养生原则,253,263,亦须以绵绸滤去水中细,exact_match
3,23,养生原则,265,269,秋冬水清,exact_match
3,24,养生原则,298,309,山泉亦以源远流长者为佳,text_found_at_other_position
3,25,养生原则,310,317,若深潭停蓄之水,text_found_at_other_position
3,26,养生原则,319,323,无有来源,text_found_at_other_position
3,27,养生原则,325,329,且不流出,text_found_at_other_position
