record_id,entity_index,label,declared_start,declared_end,entity_text
2,1,食材,22,24,薄荷
2,2,食材,55,57,白糖
2,3,食材,72,75,荚豆粉
2,4,食材,81,84,白檀末
2,5,食材,103,104,面
2,6,食材,107,109,香油
2,7,食材,132,135,玫瑰糖
2,8,食材,137,141,胡桃白仁
2,9,食材,149,151,杏仁
2,10,食材,165,169,小茴香末
2,11,食材,364,367,松子仁
2,12,食材,287,289,干葛
2,13,食材,290,292,桔梗
2,14,食材,337,340,玫瑰花
2,15,食材,360,363,榛子仁
2,16,食材,354,357,瓜子仁
2,17,烹饪方法,35,36,煮
2,18,烹饪方法,403,404,烙
2,19,烹饪方法,413,414,煎
2,20,烹饪方法,214,215,炒
2,21,烹饪方法,440,441,熬
2,22,烹饪方法,203,204,煞
2,23,古籍来源,306,309,玉躇痛
3,1,食材,196,200,上白糖霜
3,2,食材,239,241,湖水
3,3,食材,250,252,新水
3,4,食材,286,288,山泉
3,5,食材,343,345,雨水
3,6,食材,359,364,黄梅天暴雨
3,7,食材,413,418,三年陈梅水
3,8,食材,452,457,长流好湖水
3,9,食材,460,462,梅水
3,10,食材,472,474,井水
3,11,烹饪方法,171,172,煮
3,12,烹饪方法,222,223,煎
3,13,烹饪方法,355,356,熬
3,14,烹饪方法,430,432,澄漂
3,15,功效,231,235,愈街愈好
3,16,功效,407,411,久宿味甜
3,17,禁忌,371,375,饮之损人
3,18,禁忌,376,383,着衣服上即霉烂
3,19,养生原则,15,21,多备大缸贮下
3,20,养生原则,34,41,急旋成窝耶住手
3,21,养生原则,50,53,勿触动
3,22,养生原则,86,92,舀至七分耶止
3,23,养生原则,93,106,其周围白滓及底下泥连水淘冼
3,24,养生原则,113,124,然后将别缸水如前法舀过
3,25,养生原则,125,130,逐缸搬运毕
3,26,养生原则,143,149,三日后舀过缸
3,27,养生原则,150,154,剩去泥滓
3,28,养生原则,155,159,如此三遍
3,29,养生原则,179,184,人水煮滚透
3,30,养生原则,186,190,舀取入坛
3,31,养生原则,205,209,然后人水
3,32,养生原则,46,48,盖好
3,33,养生原则,253,263,亦须以绵绸滤去水中细
3,34,养生原则,265,269,秋冬水清
3,35,养生原则,298,309,山泉亦以源远流长者为佳
3,36,养生原则,310,317,若深潭停蓄之水
3,37,养生原则,319,323,无有来源
3,38,养生原则,325,329,且不流出
3,39,养生原则,330,341,但从凹山聚入者亦防有毒
3,40,养生原则,400,406,故必久宿乃妙
3,41,养生原则,442,445,凡作画
3,42,食材,43,44,箬
3,43,食材,489,501,箬竹的篾或叶子制成的斗蓬
4,1,食材,8,10,熟肉
4,2,食材,17,19,麻菇
4,3,食材,20,22,鲜笋
4,4,食材,23,25,海蜇
4,5,食材,36,38,芥辣
4,6,食材,42,44,水粉
4,7,食材,52,54,蹄爪
4,8,食材,65,68,石花莱
4,9,食材,104,106,大蹄
4,10,食材,120,122,核桃
4,11,食材,124,126,松仁
4,12,食材,129,131,屋皮
4,13,食材,132,133,筋
4,14,食材,49,50,肉
4,15,食材,212,215,三白酒
4,16,食材,218,220,白酒
4,17,烹饪方法,28,29,煮
4,18,烹饪方法,11,12,切
4,19,烹饪方法,46,47,冻
4,20,烹饪方法,78,79,挂
4,21,烹饪方法,87,88,糟
4,22,烹饪方法,192,193,煨
4,23,烹饪方法,111,113,勒开
4,24,烹饪方法,114,116,挖去
4,25,烹饪方法,119,120,填
4,26,烹饪方法,137,138,扎
4,27,烹饪方法,144,146,捞起
4,28,烹饪方法,158,160,切片
4,29,烹饪方法,89,90,蘸
4,30,食材,187,188,盐
4,31,食材,179,180,水
4,32,食材,182,183,酒
5,1,食材,120,122,豆腐
5,2,食材,22,24,水酱
5,3,食材,34,36,赤酱
5,4,食材,100,102,香蕈
5,5,食材,103,105,丁香
5,6,食材,106,108,白芷
5,7,食材,109,112,大茴香
5,8,食材,113,115,桧皮
5,9,食材,259,261,虾米
5,10,烹饪方法,46,47,煎
5,11,烹饪方法,126,127,煮
5,12,烹饪方法,172,174,油煎
5,13,烹饪方法,318,319,炸
5,14,烹饪方法,230,231,烧
5,15,烹饪方法,130,131,浸
5,16,烹饪方法,51,54,布沥汁
5,17,烹饪方法,87,89,去渣
5,18,烹饪方法,197,201,滚油内沸
5,19,烹饪方法,224,228,调味得所
5,20,烹饪方法,271,277,浸开饭锅顿过
6,1,食材,3,6,太湖沙
6,2,食材,7,9,海沙
6,3,食材,23,24,豆
6,4,食材,27,29,香油
6,5,食材,57,58,盐
6,6,食材,60,63,砂仁酱
6,7,食材,64,66,糖卤
6,8,食材,255,257,豆腐
6,9,食材,77,79,千豆
6,10,食材,138,140,盐卤
6,11,食材,153,155,石膏
6,12,食材,181,183,酸泔
6,13,食材,335,337,黑豆
6,14,食材,338,340,黄豆
6,15,食材,341,343,白豆
6,16,食材,344,346,泥豆
6,17,食材,347,349,豌豆
6,18,食材,350,352,绿豆
6,19,食材,383,386,山矾叶
6,20,食材,387,389,醋浆
6,21,食材,390,392,醋淀
6,22,烹饪方法,11,12,炒
6,23,烹饪方法,30,31,熬
6,24,烹饪方法,81,82,磨
6,25,烹饪方法,100,101,沥
6,26,烹饪方法,108,109,绞
6,27,烹饪方法,140,141,点
6,28,烹饪方法,144,146,压干
6,29,烹饪方法,285,286,煮
6,30,功效,159,161,去火
6,31,古籍来源,326,330,本草纲目
6,32,医家,272,274,刘安
6,33,医家,281,284,苏东坡
6,34,食材,250,252,桂圆
6,35,食材,48,51,龙眼核
7,1,食材,3,4,梅
7,2,食材,14,15,盐
7,3,食材,29,31,紫苏
7,4,食材,77,79,白糖
7,5,食材,103,105,青梅
7,6,食材,155,158,大黑豆
7,7,食材,159,162,大黄豆
7,8,食材,167,170,大青豆
7,9,食材,182,183,面
7,10,食材,211,214,苦瓜皮
7,11,食材,236,238,飞盐
7,12,食材,246,248,杏仁
7,13,烹饪方法,19,20,晒
7,14,烹饪方法,178,179,煮
7,15,烹饪方法,102,103,腌
7,16,烹饪方法,79,80,拌
7,17,烹饪方法,85,86,顿
7,18,功效,49,51,消暑
7,19,功效,141,147,代醋拌蔬更佳
7,20,食味,0,1,咸
7,21,食味,53,54,甜
